NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
15,勤労青少年ホーム,キンロウセイショウネンホーム,香川県仲多度郡まんのう町岸上108,,34.18215702,133.8426296,,0877-75-1515,,374067,香川県,まんのう町,,1,,1,,1,1,,1,1912,,,
16,神野公民館,カンノコウミンカン,香川県仲多度郡まんのう町岸上108,,34.18207271,133.8426296,,0877-75-1515,,374067,香川県,まんのう町,,1,,1,,1,1,,1,98,,,
17,満濃中学校,マンノウチュウガッコウ,香川県仲多度郡まんのう町吉野下957,,34.18913675,133.8476261,,0877-73-2107,,374067,香川県,まんのう町,1,1,,1,,1,1,,,6614,,,
18,スポーツセンターまんのう,スポーツセンターマンノウ,香川県仲多度郡まんのう町吉野下957,,34.18802296,133.8476797,,0877-56-4055,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,2168,,,
19,まんのう町防災センター,マンノウチョウボウサイセンター,香川県仲多度郡まんのう町吉野下430,,34.19265569,133.8413745,,0877-73-0100,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,70,,,
20,祓川児童館,ハライガワジドウカン,香川県仲多度郡まんのう町吉野下173-60,,34.19817158,133.838846,,0877-73-0100,,374067,香川県,まんのう町,1,1,,,,1,1,,1,179,,,
21,四条小学校,シジョウショウガッコウ,香川県仲多度郡まんのう町四條732,,34.19413431,133.8379833,,0877-73-5514,,374067,香川県,まんのう町,,1,,1,,1,1,,1,2344,,,
22,満濃農村環境改善センター,マンノウノウソンカンキョウカイゼンセンター,香川県仲多度郡まんのう町四條734-1,,34.19457113,133.8378369,,0877-73-2706,,374067,香川県,まんのう町,,1,,1,,1,1,,1,970,,,
23,四条公民館,シジョウコウミンカン,香川県仲多度郡まんのう町吉野下281-1,,34.1949,133.838393,,0877-56-4656,,374067,香川県,まんのう町,,1,,1,,1,1,,1,110,,,
24,高篠小学校,タカシノショウガッコウ,香川県仲多度郡まんのう町東高篠139,,34.214339,133.828413,,0877-73-3842,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,2486,,,
25,高篠コミュニティセンター,タカシノコミュニティーセンター,香川県仲多度郡まんのう町東高篠288-4,,34.21472124,133.8291977,,0877-73-5088,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,125,,,
26,高篠公民館,タカシノコウミンカン,香川県仲多度郡まんのう町東高篠93-1,,34.214917,133.827144,,0877-58-9077,,374067,香川県,まんのう町,1,1,,,,1,1,,1,118,,,
27,旧仲南東小学校,キュウチュウナンヒガシショウガッコウ,香川県仲多度郡まんのう町七箇2529,,34.14997325,133.8541414,,0877-73-0100,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,2854,,,
28,仲南支所,チュウナンシショ,香川県仲多度郡まんのう町生間415-1,,34.15474611,133.8382412,,0877-77-2111,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,611,,,
29,仲南公民館,チュウナンコウミンカン,香川県仲多度郡まんのう町生間415-1,,34.15488455,133.8376824,,0877-77-2896,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,287,,,
30,仲南小学校,チュウナンショウガッコウ,香川県仲多度郡まんのう町帆山743,,34.15355998,133.8396571,,0877-77-2230,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,6479,,,
31,旧仲南西小学校,キュウチュウナンニシショウガッコウ,香川県仲多度郡まんのう町追上20,,34.13490506,133.817226,,0877-73-0100,,374067,香川県,まんのう町,1,,,1,,1,1,,1,2535,,,
32,旧仲南北小学校,キュウチュウナンキタショウガッコウ,香川県仲多度郡まんのう町宮田750-4,,34.16919847,133.8276277,,0877-73-0100,,374067,香川県,まんのう町,1,1,,1,,1,1,,1,4165,,,
