全国地方公共団体コード,ID,地方公共団体名,介護サービス事業者名称,介護サービス事業者名称_カナ,介護サービス事業者名称_英字,実施サービス,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能日時特記事項,定員,URL,画像,画像ライセンス,備考
372081,1000090011,香川県三豊市,介護老人保健施設　宝壽苑,カイゴロウジンホケンシセツホウジュカイ,,通所リハビリ,0005,香川県,三豊市,高瀬町上高瀬,712‐3,,34.19823326,133.7265133,,,(0875)56-2522,,,,,,,,社会福祉法人　宝壽会,3750880019,,,,,,,
372081,1000090012,香川県三豊市,居宅介護支援事業所　愛の手湯ったり,キョタクカイゴシエンジギョウショアイノテユッタリ,,居宅介護支援,0005,香川県,三豊市,高瀬町上高瀬,429-5,,34.19493968,133.720511,,,(0875)74-3366,,,,,,,,医療法人社団　純心会,3770800435,,,,,,,
372081,1000090013,香川県三豊市,小規模多機能ホーム　湯ったり,ショウキボタキノウホームユッタリ,,小規模多機能型居宅介護,0005,香川県,三豊市,高瀬町上高瀬,429‐5,,34.19493968,133.720511,,,(0875)74-3366,,,,,,,,医療法人社団　純心会,3790800068,,,,,,,
372081,1000090014,香川県三豊市,デイサービスセンター湯ったり,デイサービスセンターユッタリ,,通所介護（デイサービス）,0005,香川県,三豊市,高瀬町上高瀬,429-5,,34.19493968,133.720511,,,(0875)74-3366,,,,,,,,医療法人社団　純心会,3770800427,,,,,,,
372081,1000090015,香川県三豊市,特定非営利活動法人　雅,トクテイヒエイリカツドウホウジンミヤビ,,訪問介護（ホームヘルプ）,0005,香川県,三豊市,高瀬町上高瀬,1394-1,,34.18596741,133.7185161,,,(0875)24-8662,,,,,,,,特定非営利活動法人　雅,3770800765,,,,,,,
372081,1000090016,香川県三豊市,特別養護老人ホーム壽苑,トクベツヨウゴロウジンホームコトブキエン,,短期入所生活介護（ショートステイ）,0005,香川県,三豊市,高瀬町上高瀬,712‐3,,34.19823326,133.7265133,,,(0875)56-2522,,,,,,,,社会福祉法人　宝壽会,3770800229,,,,,,,
372081,1000090017,香川県三豊市,特別養護老人ホーム壽苑,トクベツヨウゴロウジンホームコトブキエン,,介護老人福祉施設（特別養護老人ホーム）,0005,香川県,三豊市,高瀬町上高瀬,712‐3,,34.19823326,133.7265133,,,(0875)56-2522,,,,,,,,社会福祉法人　宝壽会,3770800229,,,,,,,
372081,1000090018,香川県三豊市,にこにこ三豊居宅介護支援事業所,ニコニコミトヨキョタクカイゴシエンジギョウショ,,居宅介護支援,0005,香川県,三豊市,高瀬町上高瀬,1883-1,,34.18633188,133.7256477,,,(0875)73-6750,,,,,,,,特定非営利活動法人にこにこ三豊,3771700873,,,,,,,
372081,1000090019,香川県三豊市,にこにこ三豊デイサービス,ニコニコミトヨデイサービス,,地域密着型通所介護,0005,香川県,三豊市,高瀬町上高瀬,1883‐1,,34.18633188,133.7256477,,,(0875)73-6750,,,,,,,,特定非営利活動法人にこにこ三豊,3771700923,,,,,,,
372081,1000090020,香川県三豊市,にこにこ三豊訪問介護事業所,ニコニコミトヨホウモンカイゴジギョウショ,,訪問介護（ホームヘルプ）,0005,香川県,三豊市,高瀬町上高瀬,1883-1,,34.18633188,133.7256477,,,(0875)73-6750,,,,,,,,特定非営利活動法人にこにこ三豊,3771700865,,,,,,,
372081,1000090021,香川県三豊市,古民家デイサービス　そえる,コミンカデイサービスソエル,,地域密着型通所介護,0006,香川県,三豊市,高瀬町佐股,甲2169-1,,34.15501786,133.744408,,,(0875)82-9610,,,,,,,,合同会社rinrin,3790800183,,,,,,,
372081,1000090022,香川県三豊市,三豊市立西香川病院　小規模デイサービスセンター「うちん家」,ミトヨシリツニシカガワビョウインショウキボデイサービスセンターウチンキ,,地域密着型通所介護,0007,香川県,三豊市,高瀬町下麻,1281‐1,,34.17713911,133.7646011,,,(0875)74-6265,,,,,,,,三豊市,3770800211,,,,,,,
372081,1000090023,香川県三豊市,デイサービスセンター　くにち,デイサービスセンタークニチ,,地域密着型通所介護,0008,香川県,三豊市,高瀬町下勝間,2015‐2,,34.17453413,133.7133407,,,(0875)72-0272,,,,,,,,特定非営利活動法人のぞみ荘,3770800245,,,,,,,
372081,1000090024,香川県三豊市,ニチイケアセンターたかせ,ニチイケアセンタータカセ,,訪問介護（ホームヘルプ）,0008,香川県,三豊市,高瀬町下勝間,2488‐1,,34.18127634,133.716254,,,(0875)74-3503,,,,,,,,株式会社　ニチイ学館,3770800757,,,,,,,
372081,1000090026,香川県三豊市,三豊市社会福祉協議会　居宅介護支援事業所,ミトヨシシャカイフクシキョウギカイキョタクカイゴシエンジギョウショ,,居宅介護支援,0008,香川県,三豊市,高瀬町下勝間,2449‐1,,34.18187837,133.7159836,,,(0875)72-0122,,,,,,,,社会福祉法人　三豊市社会福祉協議会,3770800203,,,,,,,
372081,1000090027,香川県三豊市,三豊市社会福祉協議会訪問介護事業所,ミトヨシシャカイフクシキョウギカイホウモンカイゴジギョウショ,,訪問介護（ホームヘルプ）,0008,香川県,三豊市,高瀬町下勝間,2449‐1,,34.18187837,133.7159836,,,(0875)72-0122,,,,,,,,社会福祉法人　三豊市社会福祉協議会,3770800047,,,,,,,
372081,1000090028,香川県三豊市,グループホーム高瀬,グループホームタカセ,,認知症対応型通所介護,0009,香川県,三豊市,高瀬町新名,1476-1,,34.19275936,133.7151001,,,(0875)73-3443,,,,,,,,有限会社　オバタ　,3790800084,,,,,,,
372081,1000090029,香川県三豊市,グループホーム 高瀬,グループホームタカセ,,認知症対応型共同生活介護（グループホーム）,0009,香川県,三豊市,高瀬町新名,1476-1,,34.19275936,133.7151001,,,(0875)73-3443,,,,,,,,有限会社 オバタ,3771700774,,,,,,,
372081,1000090030,香川県三豊市,クレール高瀬デイサービスセンター,クレールタカセデイサービスセンター,,通所介護（デイサービス）,0009,香川県,三豊市,高瀬町新名,2035,,34.19932409,133.725652,,,(0875)72-3340,,,,,,,,社会福祉法人　慶生会,3770800328,,,,,,,
372081,1000090031,香川県三豊市,クレール高瀬老人介護支援センター,クレールタカセロウジンカイゴシエンセンター,,居宅介護支援,0009,香川県,三豊市,高瀬町新名,2035,,34.19932409,133.725652,,,(0875)72-0700,,,,,,,,社会福祉法人慶生会,3770800310,,,,,,,休止中
372081,1000090032,香川県三豊市,特別養護老人ホーム　クレール高瀬,トクベツヨウゴロウジンホームクレールタカセ,,短期入所生活介護（ショートステイ）,0009,香川県,三豊市,高瀬町新名,2035,,34.19932409,133.725652,,,(0875)72-3340,,,,,,,,社会福祉法人　慶生会,3770800302,,,,,,,
372081,1000090033,香川県三豊市,特別養護老人ホーム　クレール高瀬,トクベツヨウゴロウジンホームクレールタカセ,,介護老人福祉施設（特別養護老人ホーム）,0009,香川県,三豊市,高瀬町新名,2035,,34.19932409,133.725652,,,(0875)72-3340,,,,,,,,社会福祉法人　慶生会,3770800302,,,,,,,
372081,1000090034,香川県三豊市,デイサービスセンターふるさとたかせ,デイサービスセンターフルサトタカセ,,地域密着型通所介護,0010,香川県,三豊市,高瀬町羽方,638‐1,,34.13903133,133.7293089,,,(0875)23-7930,,,,,,,,株式会社　栄光,3770800625,,,,,,,
372081,1000090035,香川県三豊市,高瀬町老人デイサービスセンター　のぞみ荘,タカセチョウロウジンデイサービスセンターノゾミソウ,,認知症対応型通所介護,0012,香川県,三豊市,高瀬町比地中,2986‐9,,34.17394067,133.7032709,,,(0875)73-6271,,,,,,,,特定非営利活動法人　のぞみ荘,3771700949,,,,,,,
372081,1000090036,香川県三豊市,三豊市立西香川病院,ミトヨシリツニシカガワビョウイン,,通所リハビリ,0012,香川県,三豊市,高瀬町比地中,2986‐3,,34.17408811,133.7022886,,,(0875)72-5121,,,,,,,,三豊市,3717011476,,,,,,,
372081,1000090037,香川県三豊市,三豊市立西香川病院,ミトヨシリツニシカガワビョウイン,,訪問リハビリ,0012,香川県,三豊市,高瀬町比地中,2986‐3,,34.17408811,133.7022886,,,(0875)72-5121,,,,,,,,三豊市,3717011476,,,,,,,
372081,1000090038,香川県三豊市,三豊市立西香川病院　居宅介護支援事業所,ミトヨシリツニシカガワビョウインキョタクカイゴシエンジギョウショ,,居宅介護支援,0012,香川県,三豊市,高瀬町比地中,2986‐3,,34.17408811,133.7022886,,,(0875)72-5121,,,,,,,,三豊市,3770800013,,,,,,,
372081,1000090039,香川県三豊市,指定通所介護事業所 大浜デイサービスセンター,シテイツウショカイゴジギョウショオオハマデイサービスセンター,,通所介護（デイサービス）,0014,香川県,三豊市,詫間町大浜,甲1836-3,,34.23660221,133.613172,,,(0875)57-2220,,,,,,,,社会福祉法人 詫間福祉会,3771700766,,,,,,,
372081,1000090040,香川県三豊市,短期入所生活介護事業所　おおはま荘,タンキニュウショセイカツカイゴジギョウショオオハマソウ,,短期入所生活介護（ショートステイ）,0014,香川県,三豊市,詫間町大浜,甲1841‐2,,34.23643733,133.6128893,,,(0875)57-2230,,,,,,,,社会福祉法人詫間福祉会,3770800575,,,,,,,
372081,1000090041,香川県三豊市,地域密着型特別養護老人ホーム　おおはま荘,チイキミッチャクガタトクベツヨウゴロウジンホームオオハマソウ,,地域密着型介護老人福祉施設入所者生活介護,0014,香川県,三豊市,詫間町大浜,甲1841‐2,,34.23643733,133.6128893,,,(0875)57-2230,,,,,,,,社会福祉法人　詫間福祉会,3790800076,,,,,,,
372081,1000090042,香川県三豊市,介護老人保健施設白寿の杜,カイゴロウジンホケンシセツハクジュノモリ,,通所リハビリ,0017,香川県,三豊市,詫間町詫間,1338‐170,,34.22206539,133.6732779,,,(0875)83-3030,,,,,,,,医療法人社団十仁会,3751780044,,,,,,,
372081,1000090043,香川県三豊市,介護老人保健施設白寿の杜,カイゴロウジンホケンシセツハクジュノモリ,,介護老人保健施設（老健）,0017,香川県,三豊市,詫間町詫間,1338‐170,,34.22206539,133.6732779,,,(0875)83-3030,,,,,,,,医療法人社団十仁会,3751780044,,,,,,,
372081,1000090044,香川県三豊市,グループホーム　オリーブ苑,グループホームオリーブエン,,認知症対応型共同生活介護（グループホーム）,0017,香川県,三豊市,詫間町詫間,679‐40,,34.22210709,133.6764935,,,(0875)56-5811,,,,,,,,医療法人社団　愛有会,3771700899,,,,,,,
372081,1000090045,香川県三豊市,グループホーム せとの家,グループホームセトノイエ,,認知症対応型共同生活介護（グループホーム）,0017,香川県,三豊市,詫間町詫間,2073,,34.22097366,133.6711675,,,(0875)83-4123,,,,,,,,株式会社 たくま福祉サービス,3771700790,,,,,,,
372081,1000090046,香川県三豊市,サービス付き高齢者向け住宅　太陽がいっぱい,サービスツキコウレイシャムケジュウタクタイヨウガイッパイ,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,0017,香川県,三豊市,詫間町詫間,679‐41,,34.22226314,133.6769503,,,(0875)83-8360,,,,,,,,有限会社　三恵会,3770800732,,,,,,,
372081,1000090047,香川県三豊市,指定居宅介護支援事業所　たくま荘,シテイキョタクカイゴシエンジギョウショタクマソウ,,居宅介護支援,0017,香川県,三豊市,詫間町詫間,7732-60,,34.2142167,133.6693637,,,(0875)83-6261,,,,,,,,社会福祉法人　詫間福祉会,3771700147,,,,,,,
372081,1000090048,香川県三豊市,指定短期入所生活介護事業所　たくま荘,シテイタンキニュウショセイカツカイゴジギョウショタクマソウ,,短期入所生活介護（ショートステイ）,0017,香川県,三豊市,詫間町詫間,7732‐60,,34.2142167,133.6693637,,,(0875)83-6261,,,,,,,,社会福祉法人　詫間福祉会,3771700246,,,,,,,
372081,1000090049,香川県三豊市,指定通所介護事業所　たくま荘デイサービスセンター,シテイツウショカイゴジギョウショタクマソウデイサービスセンター,,通所介護（デイサービス）,0017,香川県,三豊市,詫間町詫間,7732-60,,34.2142167,133.6693637,,,(0875)83-6261,,,,,,,,社会福祉法人　詫間福祉会,3771700238,,,,,,,
372081,1000090050,香川県三豊市,指定訪問介護事業所　ステッキ,シテイホウモンカイゴジギョウショステッキ,,訪問介護（ホームヘルプ）,0017,香川県,三豊市,詫間町詫間,3962‐1,,34.23147473,133.6614904,,,090-9550-4134,,,,,,,,合同会社　ステッキ,3770800781,,,,,,,
372081,1000090051,香川県三豊市,指定訪問介護事業所　たくま荘,シテイホウモンカイゴジギョウショタクマソウ,,訪問介護（ホームヘルプ）,0017,香川県,三豊市,詫間町詫間,7732-60,,34.2142167,133.6693637,,,(0875)83-6261,,,,,,,,社会福祉法人　詫間福祉会,3771700303,,,,,,,休止中
372081,1000090052,香川県三豊市,たくま居宅介護支援事業所,タクマキョタクカイゴシエンジギョウショ,,居宅介護支援,0017,香川県,三豊市,詫間町詫間,2073,,34.22097205,133.6711672,,,(0875)83-4123,,,,,,,,株式会社たくま福祉サービス,3770800294,,,,,,,
372081,1000090053,香川県三豊市,デイサービス せとの花,デイサービスセトノハナ,,認知症対応型通所介護,0017,香川県,三豊市,詫間町詫間,2073,,34.22097225,133.6711675,,,(0875)83-4123,,,,,,,,株式会社 たくま福祉サービス,3771700782,,,,,,,
372081,1000090054,香川県三豊市,デイサービスセンター　ひまわり,デイサービスセンターヒマワリ,,地域密着型通所介護,0017,香川県,三豊市,詫間町詫間,7068‐1,,34.21587383,133.6661427,,,(0875)83-7039,,,,,,,,合同会社　Ｗａｔａｎａｂｅ,3770800450,,,,,,,
372081,1000090055,香川県三豊市,特別養護老人ホーム たくま荘,トクベツヨウゴロウジンホームタクマソウ,,介護老人福祉施設（特別養護老人ホーム）,0017,香川県,三豊市,詫間町詫間,7732-60,,34.2142167,133.6693637,,,(0875)83-6261,,,,,,,,社会福祉法人 詫間福祉会,3771700410,,,,,,,
372081,1000090056,香川県三豊市,ナーシングホーム　オリーブの郷,ナーシングホームオリーブノサト,,特定施設入居者生活介護（有料老人ホーム・軽費老人ホーム等）,0017,香川県,三豊市,詫間町詫間,679‐41,,34.22226314,133.6769503,,,(0875)83-8381,,,,,,,,有限会社　三恵会,3770800153,,,,,,,
372081,1000090057,香川県三豊市,三豊市立みとよ市民病院訪問看護ステーションえいこう,ミトヨシリツミトヨシミンビョウインホウモンカンゴステーションエイコウ,,訪問看護,0017,香川県,三豊市,詫間町詫間,6784-206,,34.21289469,133.688581,,,(0875)23-6061,,,,,,,,三豊市,3760890065,,,,,,,
372081,1000090058,香川県三豊市,リハ・スタジオうらしま,リハスタジオウラシマ,,地域密着型通所介護,0017,香川県,三豊市,詫間町詫間,6784-94,,34.21738133,133.6857271,,,(0875)83-3877,,,,,,,,四国損害保険株式会社,3790800100,,,,,,,
372081,1000090059,香川県三豊市,リハビリでい　詫間,リハビリデイタクマ,,地域密着型通所介護,0017,香川県,三豊市,詫間町詫間,581‐11,,34.21962067,133.6785504,,,(0875)23-7490,,,,,,,,株式会社まさきくヒューマン・サポート,3770800617,,,,,,,
372081,1000090061,香川県三豊市,医療法人社団 愛有会 岩崎病院,イリョウホウジンシャダンアイユウカイイワサキビョウイン,,通所リハビリ,0021,香川県,三豊市,詫間町松崎,2780-426,,34.22036223,133.6902661,,,(0875)83-6011,,,,,,,,医療法人社団 愛有会,3710810072,,,,,,,
372081,1000090062,香川県三豊市,岩崎居宅介護支援事業所,イワサキキョタクカイゴシエンジギョウショ,,居宅介護支援,0021,香川県,三豊市,詫間町松崎,2780-426,,34.22036223,133.6902661,,,(0875)83-6011,,,,,,,,医療法人社団　愛有会　,3771700014,,,,,,,
372081,1000090063,香川県三豊市,うらしま介護サービス 四国損害保険株式会社,ウラシマカイゴサービスシコクソンガイホケンカブシキガイシャ,,訪問介護（ホームヘルプ）,0021,香川県,三豊市,詫間町松崎,2780-131,,34.22105078,133.6887308,,,(0875)83-6200,,,,,,,,四国損害保険株式会社,3771700287,,,,,,,
372081,1000090064,香川県三豊市,せとうち居宅介護支援事業所,セトウチキョタクカイゴシエンジギョウショ,,居宅介護支援,0021,香川県,三豊市,詫間町松崎,2780-159,,34.22234853,133.6889766,,,(0875)83-5885,,,,,,,,株式会社せとうち福祉サービス,3770800286,,,,,,,
372081,1000090065,香川県三豊市,デイサービスうらしま 四国損害保険 株式会社,デイサービスウラシマシコクソンガイホケンカブシキガイシャ,,地域密着型通所介護,0021,香川県,三豊市,詫間町松崎,2780-130,,34.22105445,133.6885651,,,(0875)83-6200,,,,,,,,四国損害保険 株式会社,3771700709,,,,,,,
372081,1000090066,香川県三豊市,デイサービスセンターせとうち,デイサービスセンターセトウチ,,地域密着型通所介護,0021,香川県,三豊市,詫間町松崎,2780‐159,,34.22234853,133.6889766,,,(0875)56-5373,,,,,,,,株式会社　せとうち福祉サービス,3790800167,,,,,,,
372081,1000090067,香川県三豊市,グループホームとよなか　,グループホームトヨナカ,,認知症対応型共同生活介護（グループホーム）,0024,香川県,三豊市,豊中町笠田竹田,697-1,,34.15535824,133.695567,,,(0875)56-6260,,,,,,,,社会福祉法人　豊中福祉会,3771700832,,,,,,,
372081,1000090068,香川県三豊市,特別養護老人ホーム とよなか荘,トクベツヨウゴロウジンホームトヨナカソウ,,短期入所生活介護（ショートステイ）,0024,香川県,三豊市,豊中町笠田竹田,697‐1,,34.15535824,133.695567,,,(0875)56-6300,,,,,,,,社会福祉法人 豊中福祉会,3771700402,,,,,,,
372081,1000090069,香川県三豊市,特別養護老人ホーム とよなか荘,トクベツヨウゴロウジンホームトヨナカソウ,,介護老人福祉施設（特別養護老人ホーム）,0024,香川県,三豊市,豊中町笠田竹田,697‐1,,34.15535824,133.695567,,,(0875)56-6300,,,,,,,,社会福祉法人 豊中福祉会,3771700402,,,,,,,
372081,1000090070,香川県三豊市,とよなか荘　老人介護支援センター,トヨナカソウロウジンカイゴシエンセンター,,居宅介護支援,0024,香川県,三豊市,豊中町笠田竹田,697-1,,34.15535824,133.695567,,,(0875)56-6400,,,,,,,,社会福祉法人　豊中福祉会,3771700188,,,,,,,
372081,1000090071,香川県三豊市,とよなか荘 老人デイサービスセンター,トヨナカソウロウジンデイサービスセンター,,通所介護（デイサービス）,0024,香川県,三豊市,豊中町笠田竹田,697-1,,34.15535824,133.695567,,,(0875)56-6300,,,,,,,,社会福祉法人 豊中福祉会,3771700592,,,,,,,
372081,1000090072,香川県三豊市,居宅介護支援センター　オレンジホーム,キョタクカイゴシエンセンターオレンジ,,居宅介護支援,0026,香川県,三豊市,豊中町下高野,1092,,34.15322981,133.6853429,,,(0875)62-1872,,,,,,,,株式会社　ヘルシーエイジング,3770800344,,,,,,,
372081,1000090073,香川県三豊市,ケアステーション　オレンジ,ケアステーションオレンジ,,訪問介護（ホームヘルプ）,0026,香川県,三豊市,豊中町下高野,1092,,34.15322834,133.6853406,,,(0875)62-1870,,,,,,,,株式会社ヘルシーエイジング,3770800773,,,,,,,
372081,1000090074,香川県三豊市,デイサービス　オレンジホーム,デイサービスオレンジホーム,,通所介護（デイサービス）,0026,香川県,三豊市,豊中町下高野,1091,,34.15366837,133.6849139,,,(0875)62-1870,,,,,,,,株式会社　ヘルシーエイジング,3770800385,,,,,,,
372081,1000090075,香川県三豊市,介護老人保健施設 ハートフルあいあい荘,カイゴロウジンホケンシセツハートフルアイアイ,,通所リハビリ,0031,香川県,三豊市,仁尾町仁尾,辛42-14,,34.19207496,133.6439039,,,(0875)82-2000,,,,,,,,医療法人社団  純心会,3751780036,,,,,,,
372081,1000090076,香川県三豊市,介護老人保健施設 ハートフルあいあい荘,カイゴロウジンホケンシセツハートフルアイアイ,,介護老人保健施設（老健）,0031,香川県,三豊市,仁尾町仁尾,辛42-14,,34.19207496,133.6439039,,,(0875)82-2000,,,,,,,,医療法人社団  純心会,3751780036,,,,,,,
372081,1000090077,香川県三豊市,居宅介護支援事業所　フクシア,キョタクカイゴシエンジギョウショフクシア,,居宅介護支援,0031,香川県,三豊市,仁尾町仁尾,辛39-1,,34.19507477,133.6471618,,,(0875)82-3351,,,,,,,,株式会社共生バックアップシステム,3770800682,,,,,,,
372081,1000090078,香川県三豊市,小規模多機能ホーム　あいあい,ショウキボタキノウホームアイアイ,,小規模多機能型居宅介護,0031,香川県,三豊市,仁尾町仁尾,辛42-18,,34.19296839,133.6454496,,,(0875)82-2700,,,,,,,,医療法人社団　純心会,3790800027,,,,,,,
372081,1000090079,香川県三豊市,地域密着型特別養護老人ホーム　にお荘,チイキミッチャクガタトクベツヨウゴロウジンホームニオソウ,,地域密着型介護老人福祉施設入所者生活介護,0031,香川県,三豊市,仁尾町仁尾,辛42‐19,,34.19313182,133.6445258,,,(0875)82-5051,,,,,,,,社会福祉法人仁尾福祉会,3790800159,,,,,,,
372081,1000090080,香川県三豊市,デイサービスセンター　フクシア,デイサービスセンターフクシア,,通所介護（デイサービス）,0031,香川県,三豊市,仁尾町仁尾,辛39-1,,34.19507477,133.6471618,,,(0875)82-3351,,,,,,,,株式会社　共生バックアップシステム,3770800690,,,,,,,
372081,1000090081,香川県三豊市,特別養護老人ホームにお荘,トクベツヨウゴロウジンホームニオソウ,,短期入所生活介護（ショートステイ）,0031,香川県,三豊市,仁尾町仁尾,辛42‐3,,34.19278579,133.6437681,,,(0875)82-5051,,,,,,,,社会福祉法人　仁尾福祉会,3771700998,,,,,,,
372081,1000090082,香川県三豊市,特別養護老人ホームにお荘,トクベツヨウゴロウジンホームニオソウ,,介護老人福祉施設（特別養護老人ホーム）,0031,香川県,三豊市,仁尾町仁尾,辛42‐3,,34.19278579,133.6437681,,,(0875)82-5051,,,,,,,,社会福祉法人　仁尾福祉会,3771700998,,,,,,,
372081,1000090083,香川県三豊市,認知症グループホーム　あいあい,ニンチショウグループホームアイアイ,,認知症対応型共同生活介護（グループホーム）,0031,香川県,三豊市,仁尾町仁尾,辛42-16,,34.19264934,133.6454962,,,(0875)82-2800,,,,,,,,医療法人社団　純心会,3770800161,,,,,,,
372081,1000090084,香川県三豊市,ヘルパーステーション　フクシア,ヘルパーステーションフクシア,,訪問介護（ホームヘルプ）,0031,香川県,三豊市,仁尾町仁尾,辛39-1,,34.19507477,133.6471618,,,(0875)82-3351,,,,,,,,株式会社共生バックアップシステム,3770800674,,,,,,,
372081,1000090085,香川県三豊市,老人介護支援センターにお荘,ロウジンカイゴシエンセンターニオソウ,,居宅介護支援,0031,香川県,三豊市,仁尾町仁尾,辛42-3,,34.19278579,133.6437681,,,(0875)82-5055,,,,,,,,社会福祉法人　仁尾福祉会,3771700980,,,,,,,
372081,1000090086,香川県三豊市,老人デイサービスセンターにお荘,ロウジンデイサービスセンターニオソウ,,通所介護（デイサービス）,0031,香川県,三豊市,仁尾町仁尾,辛42-19,,34.19313182,133.6445258,,,(0875)82-5051,,,,,,,,社会福祉法人　仁尾福祉会,3771700972,,,,,,,
372081,1000090087,香川県三豊市,介護老人保健施設  みの荘,カイゴロウジンホケンシセツミノソウ,,通所リハビリ,0032,香川県,三豊市,三野町大見,乙91-8,,34.2268701,133.7210963,,,(0875)72-1200,,,,,,,,社会福祉法人  三野福祉会,3751780028,,,,,,,
372081,1000090088,香川県三豊市,介護老人保健施設  みの荘,カイゴロウジンホケンシセツミノソウ,,介護老人保健施設（老健）,0032,香川県,三豊市,三野町大見,乙91-8,,34.2268701,133.7210963,,,(0875)72-1200,,,,,,,,社会福祉法人  三野福祉会,3751780028,,,,,,,
372081,1000090089,香川県三豊市,介護老人保健施設  みの荘　訪問リハビリテーション,カイゴロウジンホケンシセツミノソウホウモンリハビリテーション,,訪問リハビリ,0032,香川県,三豊市,三野町大見,乙91‐8,,34.2268701,133.7210963,,,(0875)72-1200,,,,,,,,社会福祉法人  三野福祉会,3751780028,,,,,,,
372081,1000090090,香川県三豊市,居宅介護支援事業所みの,キョタクカイゴシエンジギョウショミノ,,居宅介護支援,0032,香川県,三豊市,三野町大見,乙91-8,,34.2268701,133.7210963,,,(0875)72-0600,,,,,,,,社会福祉法人　三野福祉会,3771700063,,,,,,,
372081,1000090091,香川県三豊市,ぐっでい居宅介護支援事業所,グッデイキョタクカイゴシエンジギョウショ,,居宅介護支援,0032,香川県,三豊市,三野町大見,甲4447-1,,34.21594689,133.7283119,,,(0875)23-7172,,,,,,,,グデオカ株式会社,3770800658,,,,,,,
