所管課,学校コード,学校種,都道府県番号,設置区分,設置者情報,本分校,本校学校コード,本校学校名,学校名,学校名カナ表記,学校略称,学校所在地（市区町村）,学校所在地（町字）,学校所在地（番地以下）,郵便番号,緯度,経度,連絡先名称,連絡先電話番号,属性情報設定年月日,属性情報廃止年月日,旧学校調査番号,移行後の学校コード
教育総務課,2771,小学校,37,公立,三豊市,本校,2771,三豊市立仁尾小学校,三豊市立仁尾小学校,ミトヨシリツニオショウガッコウ,仁尾小学校,三豊市,仁尾町,仁尾丙1736番地,7691403,34.202931,133.651882,三豊市立仁尾小学校,(0875)82-2049,,,,
教育総務課,2772,小学校,37,公立,三豊市,本校,2772,三豊市立曽保小学校,三豊市立曽保小学校,ミトヨシリツソホショウガッコウ,曽保小学校,三豊市,仁尾町,仁尾甲1082番地,7691408,34.174107,133.650872,三豊市立曽保小学校,(0875)82-2135,,,,
教育総務課,2793,小学校,37,公立,三豊市,本校,2793,三豊市立財田小学校,三豊市立財田小学校,ミトヨシリツサイタショウガッコウ,財田小学校,三豊市,財田町,財田中5325番地1,7690402,34.117103,133.770025,三豊市立財田小学校,(0875)67-0200,,,,
教育総務課,5211,中学校,37,公立,三豊市,本校,5211,三豊市立高瀬中学校,三豊市立高瀬中学校,ミトヨシリツタカセチュウガッコウ,高瀬中学校,三豊市,高瀬町,下勝間2725番地1,7670011,34.179642,133.720833,三豊市立高瀬中学校,(0875)72-3161,,,,
教育総務課,5221,中学校,37,公立,三豊市観音寺市学校組合,本校,5221,三豊市観音寺市学校組合立三豊中学校,三豊市観音寺市学校組合立三豊中学校,ミトヨシカンオンジシガッコウクミアイリツミトヨチュウガッコウ,三豊中学校,三豊市,山本町,辻876番地,7680101,34.123053,133.713129,三豊市観音寺市学校組合立三豊中学校,(0875)63-3028,,,,
教育総務課,5231,中学校,37,公立,三豊市,本校,5231,三豊市立三野津中学校,三豊市立三野津中学校,ミトヨシリツミノツチュウガッコウ,三野津中学校,三豊市,三野町,下高瀬720番地,7670032,34.205387,133.700720,三豊市立三野津中学校,(0875)72-5209,,,,
教育総務課,5251,中学校,37,公立,三豊市,本校,5251,三豊市立豊中中学校,三豊市立豊中中学校,ミトヨシリツトヨナカチュウガッコウ,豊中中学校,三豊市,豊中町,本山甲148番地1,7691506,34.146477,133.696498,三豊市立豊中中学校,(0875)62-2071,,,,
教育総務課,5261,中学校,37,公立,三豊市,本校,5261,三豊市立詫間中学校,三豊市立詫間中学校,ミトヨシリツタクマチュウガッコウ,詫間中学校,三豊市,詫間町,詫間5796番地1,7691101,34.233210,133.657892,三豊市立詫間中学校,(0875)83-2108,,,,
教育総務課,5271,中学校,37,公立,三豊市,本校,5271,三豊市立仁尾中学校,三豊市立仁尾中学校,ミトヨシリツニオチュウガッコウ,仁尾中学校,三豊市,仁尾町,仁尾辛38番地2,7691406,34.195446,133.646274,三豊市立仁尾中学校,(0875)82-2119,,,,
教育総務課,5291,中学校,37,公立,三豊市,本校,5291,三豊市立和光中学校,三豊市立和光中学校,ミトヨシリツワコウチュウガッコウ,和光中学校,三豊市,財田町,財田上2790番地,7690401,34.124547,133.778580,三豊市立和光中学校,(0875)67-2012,,,,
