全国地方公共団体コード,法人番号,ID,地方公共団体名,イベント名,言語コード,イベント通称,サブタイトル,イベント名_カナ,イベント名_英語,コンテンツURL,状態,キーワード,タグ,対象となる産業,開催パターン,開始日,終了日,開始時間,終了時間,開始日時特記事項,所要時間,掲載開始日,掲載終了日,概要,説明,サブイベント,イベント種類,料金（基本）,料金（詳細）,連絡先名称,連絡先電話番号,連絡先内線番号,主催者,共催者,関連組織,対象者,対象者備考,場所名称,集合（受付）場所,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,アクセス方法,駐車場情報,駐車場料金,駐輪場情報,Web開催,Web開催URL,ツール・環境,定員,定員備考,料金種別,決済種別,外国語対応,外国語対応備考,開催条件,参加申込終了日,申込開始時刻,参加申込方法,申込開始日,申込開始時刻,申込URL,URL,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,画像,画像ライセンス,備考
372081,,1000120026,香川県三豊市,人形浄瑠璃inみとよ,JA,人形浄瑠璃inみとよ,,ニンギョウジョウルリインミトヨ,,,,,,,毎年春分の日に開催,2023-03-21,2023-03-21,13:00,16:00,,,,,,讃岐源之丞の定期公演です。,,,無し,入場無料,讃岐源之丞保存会,,,讃岐源之丞保存会,三野町公民館,,一般,,三野町ふれあいパークみの木香ホール,,0032,香川県,三豊市,三野町大見,乙74,三野町ふれあいパークみの,34.22630661,133.7227804,,,,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120027,香川県三豊市,大坊市,JA,,,ダイボウイチ,,,,,,,毎年11月22日～11月25日,2023-11-22,2023-11-25,,,,,,,別名「食いもん市」とも呼ばれる。たくさんのグルメが楽しめる。,地元特産品や農産物、農具や植木、古本や衣料品など、多種多様な出店がある。スタンプラリーや特産品の張り子の虎の絵付け体験が出来たり、人形浄瑠璃の公演も行われる。,,屋台、バルーンショー、人形浄瑠璃等,無料,,まちづくり推進隊みの,(0875)73-6228,,三野町イベント推進協議会大坊市実行委員会,,,,,本門寺,,0033,香川県,三豊市,三野町下高瀬,1916,,34.2048212,133.7086206,車または電車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120028,香川県三豊市,三野町文化祭,JA,三野町文化祭,,ミノチョウブンカサイ,,,,,,,毎年11月に開催,11月上旬の土曜日,11月上旬の日曜日,08:30,16:30,,,,,,三野町の文化祭です。,,文化祭,,,三野町公民館,(0875)73-3114,,文化協会三野支部,,,一般,,三野町生涯学習センター,,0033,香川県,三豊市,三野町下高瀬,568-1,三野町生涯学習センター,34.20257813,133.7061859,,,無料,,無,,,,,無料,,,,,,,,,,,,,,,,,,,
372081,,1000120029,香川県三豊市,宗吉史跡まつり,JA,,,ムネヨシシセキマツリ,,,準備中,,,,毎年3月最終日曜日開催,2023-03-26,2023-03-26,11:00,16:00,,,,,能楽の公演と焼物展示即売会を開催。,能楽の公演と焼物展示即売会を開催。,,屋台、縁日、能楽,無料,,宗吉瓦窯会,(0875)56-2301,,宗吉瓦窯会,三野町公民館・宗吉かわらの里展示館,三豊市教育委員会,,,宗吉瓦窯跡史跡公園,,0034,香川県,三豊市,三野町吉津,152-1,,34.19314257,133.6992339,車,臨時駐車場として三野町体育センターを開放,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120030,香川県三豊市,よしづ花まつり,JA,,,ヨシヅハナマツリ,,,令和5年度は中止,,,,毎年4月29日（昭和の日）,2023-04-29,2023-04-29,10:00,14:00,,,,,花と緑と楽しい企画がいっぱいのイベント,釈迦涅槃像で有名な吉祥寺周辺が会場となり、空を泳ぐこいのぼりの下、さまざまな催しが開催される。,,ノスタルジックカーパレード、ステージショー、バザー、小学生相撲大会等,無料,,まちづくり推進隊みの,(0875)73-6228,,三野町イベント推進協議会よしづ花まつり実行委員会,,,,,吉祥寺及び周辺地域,,0034,香川県,三豊市,三野町吉津,乙1568,,34.20051421,133.6839577,車,会場周辺に駐車場無し、臨時駐車場として吉津小学校運動場を開放,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120031,香川県三豊市,須賀神社の祇園祭り,JA,,,スガジンジャノギオンマツリ,,,,,,,毎年7月,,,,,,,,,二柱の神さま（須賀神社と八幡神社）が仲良く並んで鎮座する、ちょっと珍しい神社で開催される夏祭り,須賀神社と八幡神社が鎮座する珍しい神様。江戸時代までは「祇園宮」と称されていたことから、今でも「大野の祇園さん」と呼ばれ、人々に親しまれている。「祇園祭り」では、参道の両側に夜店が並び、大勢のお客さんでにぎわう。,,屋台、花火大会等,無料,,"	須賀神社",(0875)63-2806,,"	須賀神社",,,,,須賀神社,,0035,香川県,三豊市,山本町大野,乙54,,34.12758919,133.7305955,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120032,香川県三豊市,みとよ商工まつり,JA,,,ミトヨショウコウマツリ,,,,,,,毎年11月上旬,,,,,,,,,三豊市商工会会員企業のPRと販売促進を目的として開催されるイベント,三豊市商工会会員企業のPRと販売促進を目的として開催されるイベント,,屋台、餅つき大会、ビンゴ大会等,無料,,三豊市商工会,(0875)72-3123,,三豊市商工会,,,,,旧河内小学校,,0037,香川県,三豊市,山本町河内,749,,34.10078257,133.736314,車,西光寺橋下（財田川河川敷）駐車場からシャトルバスを運行,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
372081,,1000120033,香川県三豊市,三豊市文書館 夏期企画展,JA,,,カキキカクテン,,https://www.city.mitoyo.lg.jp/section/bunsho/kikaku.html,,三豊市;文書館;アーカイブズ;展示,,,毎年7~8月頃に開催,2023-07-01,2023-08-31,09:00,17:00,開催期間未定,,2022-04-01,2024-03-31,,三豊市文書館の夏期企画展,,,,,三豊市文書館,(0875)63-1010,,,,,,,三豊市文書館,,0038,香川県,三豊市,山本町財田西,375番地,,34.11836753,133.7258325,三豊市コミュニティバス 山本線・財田観音寺線 山本庁舎 下車すぐ,有,無料,,無,,,,,,,,,,,,,,,,,無,無,不可,無,可,,,
372081,,1000120034,香川県三豊市,三豊市文書館 秋期企画展,JA,,,シュウキキカクテン,,https://www.city.mitoyo.lg.jp/section/bunsho/kikaku.html,,三豊市;文書館;アーカイブズ;展示,,,毎年10~11月頃に開催,2023-10-01,2023-11-31,09:00,17:00,開催期間未定,,2022-04-01,2024-03-31,,三豊市文書館の秋期企画展,,,,,三豊市文書館,(0875)63-1010,,,,,,,三豊市文書館,,0038,香川県,三豊市,山本町財田西,375番地,,34.11836753,133.7258325,三豊市コミュニティバス 山本線・財田観音寺線 山本庁舎 下車すぐ,有,無料,,無,,,,,,,,,,,,,,,,,無,無,不可,無,可,,,
372081,,1000120035,香川県三豊市,三豊市文書館 春期企画展「市民と地域を守る ~三豊、消防のあゆみ~」,JA,,,シュンキキカクテン「シミントチイキヲマモル　~ミトヨ、ショウボウノアユミ~」,,https://www.city.mitoyo.lg.jp/section/bunsho/kikaku.html,,三豊市;文書館;アーカイブズ;展示;消防;消防団,,,毎年3~4月に開催,2023-03-11,2023-05-07,09:00,17:00,休館日:月曜、祝日、3月31日(月)、4月28日(金),,2023-03-11,2023-05-07,,操法大会などで毎年優秀な成績を収める三豊市消防団。平成28(2016)年に移転新築された三観広域北消防署。消防団の誕生から北消防署の移転まで、三豊の消防、消防団のあゆみを振り返ります。,,,,,三豊市文書館,(0875)63-1010,,,,,,,三豊市文書館,,0038,香川県,三豊市,山本町財田西,375番地,,34.11836753,133.7258325,三豊市コミュニティバス 山本線・財田観音寺線 山本庁舎 下車すぐ,有,無料,,無,,,,,,,,,,,,,,,,,無,無,不可,無,可,,,
372081,,1000120036,香川県三豊市,文書館こども体験講座「ぶんしょかんの夏休み!」,JA,,,ブンショカンコドモタイケンコウザ「ブンショカンノナツヤスミ!」,,https://www.city.mitoyo.lg.jp/section/bunsho/kikaku.html,,三豊市;文書館;アーカイブズ;講座;体験;子供向け,,,毎年8月下旬に開催,2023-08-24,2023-08-24,14:00,15:30,開催日未定,,2022-04-01,2024-03-31,,三豊市文書館の子ども向け体験講座。紙にまつわる体験講座。,,,,,三豊市文書館,(0875)63-1010,,,,,,,三豊市文書館,,0038,香川県,三豊市,山本町財田西,375番地,,34.11836753,133.7258325,三豊市コミュニティバス 山本線・財田観音寺線 山本庁舎 下車すぐ,有,無料,,無,,,,,,,,,,,,,,,,,無,無,不可,無,可,,,
372081,,1000120037,香川県三豊市,文書館体験講座「はじめての文書館!2023」,JA,,,ブンショカンタイケンコウザ「ハジメテノブンショカン!2023」,,https://www.city.mitoyo.lg.jp/section/bunsho/kikaku.html,,三豊市;文書館;アーカイブズ;講座;体験;,,,毎年6月9日(国際アーカイブズの日)前後に開催,2023-06-09,2023-06-09,14:00,15:30,開催日未定,,2022-04-01,2024-03-31,,三豊市文書館の利用と業務の体験,,,,,三豊市文書館,(0875)63-1010,,,,,,,三豊市文書館,,0038,香川県,三豊市,山本町財田西,375番地,,34.11836753,133.7258325,三豊市コミュニティバス 山本線・財田観音寺線 山本庁舎 下車すぐ,有,無料,,無,,,,,,,,,,,,,,,,,無,無,不可,無,可,,,
372081,,1000120038,香川県三豊市,やまもと爽郷祭り,JA,さっさまつり,,ヤマモトサッサマツリ,,,,,,,毎年10月中旬,,,,,,,,,秋によさこいの熱い乱舞を見ることが出来るイベント,秋によさこいの熱い乱舞を見ることが出来るイベント。地元チームだけでなく、高知など県外のチームも参加する。また、地元の獅子舞や長刀踊りなどの伝統芸能や太鼓台も登場する。,,屋台、よさこい、ステージパフォーマンス、獅子舞、太鼓台等,無料,,財田大野農業構造改善センター,(0875)63-4692,,やまもと爽郷まつり実行委員会 ,,,,,山本ふれあい公園,,0038,香川県,三豊市,山本町財田西,154,,34.12041038,133.7328166,車,,無料,,無,,,,,,,,,,,,,,,,,,,有,,,,,
