ID,名称,名称_カナ,名称_英字,町字ID,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等（方書）,緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,全国地方公共団体コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像ライセンス,備考
1000030031,詫間小学校,タクマショウガッコウ,,0017,香川県,三豊市,詫間町詫間,2158,,34.22541362,133.6669568,,(0875)83-2858,,,,,7691101,372081,香川県三豊市,1,1, ,1, ,1,1,1,1,198,,,,,
1000030032,詫間中学校,タクマチュウガッコウ,,0017,香川県,三豊市,詫間町詫間,5796-1,,34.23416284,133.6579717,,(0875)83-2108,,,,,7691101,372081,香川県三豊市,1,1, ,1, ,1,1,1,1,299,,,,,
1000030033,三豊市文化会館マリンウェーブ,ミトヨシブンカカイカンマリンウェーブ,,0017,香川県,三豊市,詫間町詫間,1338-127,,34.2215387,133.6744676,,,,,,,7691101,372081,香川県三豊市,1,1,,1,1,1,1,1,,51,,,,,
1000030034,（旧）箱浦小学校,キュウハコウラショウガッコウ,,0020,香川県,三豊市,詫間町箱,551-1,,34.25496976,133.5868265,,,,,,,7691106,372081,香川県三豊市,1, ,1,1,1,1,1,1,1,88,,,,,
1000030035,松崎コミュニティセンター,マツサキコミュニティセンター,,0021,香川県,三豊市,詫間町松崎,717-1,,34.22105055,133.6932672,,(0875)83-6696,,,,,7691102,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,89,,,,,
1000030036,松崎小学校,マツサキショウガッコウ,,0021,香川県,三豊市,詫間町松崎,722,,34.22012215,133.694167,,(0875)83-2856,,,,,7691102,372081,香川県三豊市,1,,1,1,1,1,1,1,1,154,,,,,
1000030037,桑山小学校,クワヤマショウガッコウ,,0022,香川県,三豊市,豊中町岡本,188-1,,34.15422203,133.6815011,,(0875)62-2103,,,,,7691507,372081,香川県三豊市,1,,1,1,1,1,1,1,1,157,,,,,
1000030038,笠田小学校,カサダショウガッコウ,,0023,香川県,三豊市,豊中町笠田笠岡,2192-1,,34.15781658,133.7065499,,(0875)62-2004,,,,,7691502,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,157,,,,,
1000030039,笠田高等学校,カサダコウトウガッコウ,,0024,香川県,三豊市,豊中町笠田竹田,251,,34.15162973,133.699901,,(0875)62-3345,,,,,7691503,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,270,,,,,
1000030040,上高野小学校,カミタカノショウガッコウ,,0025,香川県,三豊市,豊中町上高野,2384,,34.14421869,133.7065551,,(0875)62-2064,,,,,7691504,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,157,,,,,
1000030041,比地大小学校,ヒジダイショウガッコウ,,0027,香川県,三豊市,豊中町比地大,2514-1,,34.16710506,133.689163,,(0875)62-2124,,,,,7691501,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,157,,,,,
1000030042,豊中中学校,トヨナカチュウガッコウ,,0029,香川県,三豊市,豊中町本山甲,148-1,,34.14611116,133.6961213,,(0875)62-2071,,,,,7691506,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,620,,,,,
1000030043,豊中町農村環境改善センター,トヨナカチョウノウソンカンキョウカイゼンセンター,,0029,香川県,三豊市,豊中町本山甲,160-1,,34.1474319,133.6960986,,(0875)62-1155,,,,,7691506,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,260,,,,,
1000030044,三豊市市民交流センター,ミトヨシシミンコウリュウセンター,,0029,香川県,三豊市,豊中町本山甲,160-1,,34.14757386,133.6959822,,,,,,,7691506,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,85,,,,,
1000030045,本山小学校,モトヤマショウガッコウ,,0029,香川県,三豊市,豊中町本山甲,1893-1,,34.14019588,133.6992596,,(0875)62-2125,,,,,7691506,372081,香川県三豊市,,1,1,1,1,1,1,1,1,157,,,,,
1000030046,円明院,エンミョウイン,,0030,香川県,三豊市,仁尾町家の浦,5,,34.21754767,133.6304412,,,,,,,7691410,372081,香川県三豊市,1, ,1,,1,1,1,1,1,20,,,,,
1000030047,常徳寺,ジョウトクジ,,0031,香川県,三豊市,仁尾町仁尾,丁930,,34.20297485,133.6463853,,(0875)82-2049,,,,,7691407,372081,香川県三豊市,1,1, , ,1,1,1,1,1,17,,,,,
1000030048,曽保小学校,ソホショウガッコウ,,0031,香川県,三豊市,仁尾町仁尾,甲1082,,34.174369,133.6511787,,(0875)83-5650,,,,,7691408,372081,香川県三豊市,1, ,1,1,1,1,1,1,1,123,,,,,
1000030049,仁尾小学校,ニオショウガッコウ,,0031,香川県,三豊市,仁尾町仁尾,丙1736,,34.20300132,133.6516295,,,,,,,7691403,372081,香川県三豊市,1, ,1,1,1,1,1,1,1,191,,,,,
1000030050,仁尾中学校,ニオチュウガッコウ,,0031,香川県,三豊市,仁尾町仁尾,辛38-2,,34.19626875,133.6461421,,(0875)56-9565,,,,,7691406,372081,香川県三豊市,1,1, ,1,1,1,1,1,1,257,,,,,
1000030051,仁尾町体育センター,ニオチョウタイイクセンター,,0031,香川県,三豊市,仁尾町仁尾,辛34-1,,34.19778403,133.6452487,,(0875)82-2119,,,,,7691406,372081,香川県三豊市,1,1, , ,1,1,1,1,1,222,,,,,
1000030052,仁尾町文化会館,ニオチョウブンカカイカン,,0031,香川県,三豊市,仁尾町仁尾,丁296-1,,34.20069499,133.6461978,,,,,,,7691407,372081,香川県三豊市,1,1, ,1,1,1,1,1,1,92,,,,,
1000030053,八幡神社,ハチマンジンジャ,,0031,香川県,三豊市,仁尾町仁尾,乙47-1,,34.19859477,133.6519147,,(0875)82-2135,,,,,7691404,372081,香川県三豊市,1,1, , ,1,1,1,1,1,40,,,,,
1000030054,大見小学校,オオミショウガッコウ,,0032,香川県,三豊市,三野町大見,甲3034-4,,34.21622128,133.7144882,,(0875)72-5402,,,,,7670031,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,184,,,,,
1000030055,ふれあいパークみの,フレアイパークミノ,,0032,香川県,三豊市,三野町大見,乙74,,34.22638797,133.7228183,,(0875)72-2601,,,,,7670031,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,559,,,,,
1000030056,三野町公民館大見分館,ミノチョウコウミンカンオオミブンカン,,0032,香川県,三豊市,三野町大見,甲3047-3,,34.21732743,133.7154583,,(0875)73-5773,,,,,7670031,372081,香川県三豊市,1,1,1, ,1,1,1,1,1,90,,,,,
1000030057,三野町はつらつセンター,ミノチョウハツラツセンター,,0032,香川県,三豊市,三野町大見,甲3034-1,,34.21718921,133.7150304,,(0875)73-3211,,,,,7670031,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,30,,,,,
1000030058,下高瀬小学校,シモタカセショウガッコウ,,0033,香川県,三豊市,三野町下高瀬,760-1,,34.20329616,133.7033064,,(0875)72-5401,,,,,7670032,372081,香川県三豊市,,1, ,1,1,1,1,1,1,324,,,,,
1000030059,三野町生涯学習センター,ミノチョウショウガイガクシュウセンター,,0033,香川県,三豊市,三野町下高瀬,568-1,,34.2026839,133.7062775,,(0875)72-3204,,,,,7670032,372081,香川県三豊市,,1,,1,1,1,1,1,1,152,,,,,
1000030060,三野町体育センター,ミノチョウタイイクセンター,,0033,香川県,三豊市,三野町下高瀬,752-2,,34.20272672,133.7032561,,,,,,,7670032,372081,香川県三豊市,,1,,1,1,1,1,1,1,202,,,,,
1000030061,三野津中学校,ミノツチュウガッコウ,,0033,香川県,三豊市,三野町下高瀬,720,,34.20553033,133.7012308,,(0875)72-5209,,,,,7670032,372081,香川県三豊市,,1, ,1, ,1,1,1,1,246,,,,,
1000030062,三野町公民館吉津分館,ミノチョウコウミンカンヨシヅブンカン,,0034,香川県,三豊市,三野町吉津,甲1073-1,,34.19862337,133.6884023,,(0875)72-4774,,,,,7670033,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,69,,,,,
1000030063,三野町保健センター,ミノチョウホケンセンター,,0034,香川県,三豊市,三野町吉津,乙2030-1,,34.20233317,133.6948888,,,,,,,7670033,372081,香川県三豊市,,1, ,1, ,1, ,1,1,137,,,,,
1000030064,吉津小学校,ヨシヅショウガッコウ,,0034,香川県,三豊市,三野町吉津,乙1485-1,,34.20152827,133.6826398,,(0875)72-5676,,,,,7670033,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,184,,,,,
1000030065,財田大野農業構造改善センター,サイタオオノノウギョウコウゾウカイゼンセンター,,0035,香川県,三豊市,山本町大野,266-1,,34.12191784,133.7280711,,(0875)63-4692,,,,,7680102,372081,香川県三豊市,,1,1,1,1,1,1,1,1,73,,,,,
1000030066,山本小学校,ヤマモトショウガッコウ,,0035,香川県,三豊市,山本町大野,6-1,,34.12210153,133.7339914,,(0875)63-8100,,,,,7680102,372081,香川県三豊市,,,1,1,1,1,1,1,1,188,,,,,
1000030067,(旧)神田小学校,キュウコウダショウガッコウ,,0036,香川県,三豊市,山本町神田,1259,,34.14246459,133.7696399,,,,,,,7680104,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,114,,,,,
1000030068,神田定住促進センター,コウダテイジュウソクシンセンター,,0036,香川県,三豊市,山本町神田,1250-3,,34.14233305,133.7709958,,(0875)63-4693,,,,,7680104,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,44,,,,,
1000030069,(旧)河内小学校,キュウコウチショウガッコウ,,0037,香川県,三豊市,山本町河内,714,,34.10064664,133.7354158,,,,,,,7680105,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,114,,,,,
1000030070,河内農村婦人の家,コウチノウソンフジンノイエ,,0037,香川県,三豊市,山本町河内,1080-1,,34.0997827,133.7348755,,(0875)63-4690,,,,,7680105,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,30,,,,,
1000030071,山本町農村環境改善センター,ヤマモトチョウノウソンカンキョウカイゼンセンター,,0038,香川県,三豊市,山本町財田西,375,,34.11865593,133.7252762,,,,,,,7680103,372081,香川県三豊市,,1,1,1,1,1,1,1,1,240,,,,,
1000030072,山本町保健センター,ヤマモトチョウホケンセンター,,0038,香川県,三豊市,山本町財田西,375,,34.11855284,133.7260413,,,,,,,7680103,372081,香川県三豊市,,1,1,1,1,1,1,1,1,112,,,,,
1000030073,(旧)辻小学校,キュウツジショウガッコウ,,0039,香川県,三豊市,山本町辻,1375,,34.11419688,133.7189727,,,,,,,7680101,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,157,,,,,
1000030074,三豊中学校,ミトヨチュウガッコウ,,0039,香川県,三豊市,山本町辻,876,,34.12294818,133.7120847,,(0875)63-3028,,,,,7680101,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,165,,,,,
1000030075,山本町公民館辻分館,ヤマモトチョウコウミンカンツジブンカン,,0039,香川県,三豊市,山本町辻,1374-1,,34.11391903,133.7190563,,(0875)63-4691,,,,,7680101,372081,香川県三豊市,1,1,1,1,1,1,1,1,1,35,,,,,
