全国地方公共団体コード,ID,名称,名称_カナ,名称_英字,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,標高,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,市区町村コード,地方公共団体名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,画像,画像_ライセンス,備考
372030,11,東部中学校,トウブチュウガッコウ,,372030,,香川県坂出市久米町2-7-46,香川県,坂出市久米町2-7-46,,,,34.32019,133.86478,,(0877)46-2159,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
372030,12,市民広場,シミンヒロバ,,372030,,香川県坂出市京町1丁目3793-4,香川県,坂出市京町1丁目3793-4,,,,34.31362,133.85796,,(0000)00-0000,,,,,,372030,香川県坂出市,,,,1,,1,,,,,,,,,
372030,13,金山小学校,カナヤマショウガッコウ,,372030,,香川県坂出市谷町3-1-23,香川県,坂出市谷町3-1-23,,,,34.31015,133.86749,,(0877)46-2329,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,
372030,14,西庄小学校,ニシノショウショウガッコウ,,372030,,香川県坂出市西庄町524-5,香川県,坂出市西庄町524-5,,,,34.31368,133.89074,,(0877)46-2662,,,,,,372030,香川県坂出市,,1,1,1,1,1,,,1,,,,,,
372030,15,西庄公民館,ニシノショウコウミンカン,,372030,,香川県坂出市西庄町456-9,香川県,坂出市西庄町456-9,,,,34.31722,133.88883,,(0877)46-6731,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,優先開設
372030,16,西庄文化センター,ニシノショウブンカセンター,,372030,,香川県坂出市西庄町1155-1,香川県,坂出市西庄町1155-1,,,,34.30974,133.89813,,(0877)46-5884,,,,,,372030,香川県坂出市,,,1,1,1,1,,,,,,,,,西庄児童館含む
372030,17,林田小学校,ハヤシダショウガッコウ,,372030,,香川県坂出市林田町2215-1,香川県,坂出市林田町2215-1,,,,34.32816,133.8904,,(0877)47-0270,,,,,,372030,香川県坂出市,,1,,1,1,1,,,1,,,,,,
372030,18,白峰中学校,ハクホウチュウガッコウ,,372030,,香川県坂出市林田町181-1,香川県,坂出市林田町181-1,,,,34.32527,133.89972,,(0877)47-0211,,,,,,372030,香川県坂出市,,1,1,1,1,1,,,1,,,,,,
372030,19,林田公民館,ハヤシダコウミンカン,,372030,,香川県坂出市林田町636-5,香川県,坂出市林田町636-5,,,,34.32726,133.89083,,(0877)47-0201,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,優先開設
372030,20,加茂小学校,カモショウガッコウ,,372030,,香川県坂出市加茂町1098-3,香川県,坂出市加茂町1098-3,,,,34.31198,133.90906,,(0877)48-0601,,,,,,372030,香川県坂出市,,1,1,1,1,1,,,1,,,,,,
372030,21,加茂公民館,カモコウミンカン,,372030,,香川県坂出市加茂町645-7,香川県,坂出市加茂町645-7,,,,34.30916,133.91018,,(0877)48-0350,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,優先開設
372030,22,旧瀬居小学校,セイショウガッコウ,,372030,,香川県坂出市瀬居町1500-1,香川県,坂出市瀬居町1500-1,,,,34.35222,133.84994,,(0877)46-9194,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,優先開設
372030,23,瀬居中学校,セイチュウガッコウ,,372030,,香川県坂出市番の州町11,香川県,坂出市番の州町11,,,,34.35186,133.85687,,(0877)46-9193,,,,,,372030,香川県坂出市,1,1,,1,1,1,1,,1,,,,,,
372030,24,万葉会館,マンヨウカイカン,,372030,,香川県坂出市沙弥島70-1,香川県,坂出市沙弥島70-1,,,,34.34712,133.82275,,(0877)46-9154,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,優先開設
372030,25,中央公民館　与島分館,チュウオウコウミンカン　ヨシマブンカン,,372030,,香川県坂出市与島町102,香川県,坂出市与島町102,,,,34.38501,133.82265,,(0877)43-0002,,,,,,372030,香川県坂出市,1,1,,1,,1,1,,1,,,,,,
372030,26,与島開発総合センター,ヨシマカイハツソウゴウセンター,,372030,,香川県坂出市与島町514-22,香川県,坂出市与島町514-22,,,,34.39032,133.81939,,(0877)43-0766,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,
372030,27,岩黒小･中学校,イワクロショウ・チュウガッコウ,,372030,,香川県坂出市岩黒240,香川県,坂出市岩黒240,,,,34.40766,133.81251,,(0877)43-0104,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,
372030,28,中央公民館櫃石分館,チュウオウコウミンカンヒツイシブンカン,,372030,,香川県坂出市櫃石585-17,香川県,坂出市櫃石585-17,,,,34.42046,133.80664,,(0000)00-0000,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,旧櫃石小･中学校含む
372030,29,府中小学校,フチュウショウガッコウ,,372030,,香川県坂出市府中町1193-3,香川県,坂出市府中町1193-3,,,,34.28897,133.91683,,(0877)48-0610,,,,,,372030,香川県坂出市,,1,1,1,1,1,,,1,,,,,,
372030,30,府中公民館,フチュウコウミンカン,,372030,,香川県坂出市府中町1145-6,香川県,坂出市府中町1145-6,,,,34.29029,133.91917,,(0877)48-0101,,,,,,372030,香川県坂出市,,1,1,1,1,1,,,,,,,,,
372030,31,香川県広域水道企業団広域送水管理センター,カガワケンコウイキスイドウキギョウダンコウイキソウスイカンリセンター,,372030,,香川県坂出市府中町1265-1,香川県,坂出市府中町1265-1,,,,34.28525,133.9205,,(0877)48-0511,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,優先開設
372030,32,香川県埋蔵文化財センター,カガワケンマイゾウブンカザイセンター,,372030,,香川県坂出市府中町5001-4,香川県,坂出市府中町5001-4,,,,34.29098,133.91632,,(0877)48-2191,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,
372030,33,坂出中学校,サカイデチュウガッコウ,,372030,,香川県坂出市小山町2-1,香川県,坂出市小山町2-1,,,,34.29934,133.85328,,(0877)46-1188,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,
372030,34,川津小学校,カワツショウガッコウ,,372030,,香川県坂出市川津町3093-3,香川県,坂出市川津町3093-3,,,,34.29368,133.85773,,(0877)46-3884,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,1,,,,,,
372030,35,川津公民館,カワツコウミンカン,,372030,,香川県坂出市川津町4939,香川県,坂出市川津町4939,,,,34.29181,133.8516,,(0877)46-2553,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,優先開設
372030,36,川津文化センター,カワツブンカセンター,,372030,,香川県坂出市川津町6100,香川県,坂出市川津町6100,,,,34.28613,133.84021,,(0877)45-6824,,,,,,372030,香川県坂出市,1,1,1,1,1,1,1,,,,,,,,
372030,37,松山小学校,マツヤマショウガッコウ,,372030,,香川県坂出市高屋町1050-1,香川県,坂出市高屋町1050-1,,,,34.33854,133.90789,,(0877)47-0606,,,,,,372030,香川県坂出市,1,1,,1,,1,1,,1,,,,,,
372030,38,松山公民館,マツヤマコウミンカン,,372030,,香川県坂出市高屋町1100-1,香川県,坂出市高屋町1100-1,,,,34.33921,133.90791,,(0877)47-0903,,,,,,372030,香川県坂出市,1,1,1,1,,1,1,,,,,,,,優先開設
372030,39,交流の里おうごし,コウリュウノサトオウゴシ,,372030,,香川県坂出市王越町木沢1197-8,香川県,坂出市王越町木沢1197-8,,,,34.36622,133.91606,,(0877)42-0102,,,,,,372030,香川県坂出市,1,,1,1,1,1,1,,1,,,,,,優先開設
372030,40,香川大学附属坂出中学校　体育館,カガワダイガクフゾクサカイデチュウガッコウ　タイイクカン,,372030,,香川県坂出市青葉町1-7,香川県,坂出市青葉町1-7,,,,34.308914,133.8537,,(0877)46-2695,,,,,,372030,香川県坂出市,,1,,1,1,1,,,1,,,,,,
372030,41,香川大学附属坂出小学校　体育館,カガワダイガクフゾクサカイデショウガッコウ　タイイクカン,,372030,,香川県坂出市文京町2-4-2,香川県,坂出市文京町2-4-2,,,,34.310243,133.851167,,(0877)46-2692,,,,,,372030,香川県坂出市,,1,,1,,1,,,1,,,,,,
