全国地方公共団体コード,法人番号,ID,地方公共団体名,名称,名称_カナ,名称_英語,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,設置者,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,SSID,提供エリア,URL,備考
372030,,0000000012,香川県坂出市,府中湖カヌー競技場,フチュウコカヌーキョウギジョウ,,372030,,香川県坂出市府中町1417-5,香川県,坂出市府中町1417-5,,,,34.283433,133.929023,坂出市府中湖カヌー競技場研修センター,0877-48-1885,,,,,,,,https://www.city.sakaide.lg.jp/,30分制限
372030,,0000000013,香川県坂出市,坂出市高校生のための多目的スペース,サカイデシコウコウセイノタメノタモクテキスペース,,372030,,香川県坂出市元町1-1-1,香川県,坂出市元町1-1-1,,,,34.31311,133.856097,坂出市政策部政策課,0877-44-5001,,,,,,,,https://www.city.sakaide.lg.jp/,坂出市内に住所を有する高校生または坂出市内の高校に在学する高校生のみが利用可能。学生証（生徒手帳）の提示が必要。
372030,,0000000014,香川県坂出市,坂出中学校,サカイデチュウガッコウ,,372030,,香川県坂出市小山町2-1,香川県,坂出市小山町2-1,,,,34.299342,133.853248,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000015,香川県坂出市,東部中学校,トウブチュウガッコウ,,372030,,香川県坂出市久米町2-7-46,香川県,坂出市久米町2-7-46,,,,34.320177,133.864782,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000016,香川県坂出市,白峰中学校,ハクホウチュウガッコウ,,372030,,香川県坂出市林田町181-1,香川県,坂出市林田町181-1,,,,34.325263,133.899726,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000017,香川県坂出市,瀬居中学校,セイチュウガッコウ,,372030,,香川県坂出市番の州町11,香川県,坂出市番の州町11,,,,34.35188,133.856859,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000018,香川県坂出市,坂出小学校,サカイデショウガッコウ,,372030,,香川県坂出市白金町1-3-7,香川県,坂出市白金町1-3-7,,,,34.313965,133.846124,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000019,香川県坂出市,東部小学校,トウブショウガッコウ,,372030,,香川県坂出市室町1-1-21,香川県,坂出市室町1-1-21,,,,34.314462,133.861451,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000020,香川県坂出市,金山小学校,カナヤマショウガッコウ,,372030,,香川県坂出市谷町3-1-23,香川県,坂出市谷町3-1-23,,,,34.310146,133.867512,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000021,香川県坂出市,西庄小学校,ニシノショウショウガッコウ,,372030,,香川県坂出市西庄町524-5,香川県,坂出市西庄町524-5,,,,34.313677,133.890708,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000022,香川県坂出市,林田小学校,ハヤシダショウガッコウ,,372030,,香川県坂出市林田町2215-1,香川県,坂出市林田町2215-1,,,,34.328183,133.890381,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000023,香川県坂出市,加茂小学校,カモショウガッコウ,,372030,,香川県坂出市加茂町1098-3,香川県,坂出市加茂町1098-3,,,,34.311985,133.90907,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000024,香川県坂出市,府中小学校,フチュウショウガッコウ,,372030,,香川県坂出市府中町1193-3,香川県,坂出市府中町1193-3,,,,34.288963,133.916817,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000025,香川県坂出市,川津小学校,カワツショウガッコウ,,372030,,香川県坂出市川津町3093-1,香川県,坂出市川津町3093-1,,,,34.293705,133.857706,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000026,香川県坂出市,松山小学校,マツヤマショウガッコウ,,372030,,香川県坂出市高屋町1050-1,香川県,坂出市高屋町1050-1,,,,34.338566,133.907923,坂出市教育委員会教育総務課,0877-44-5026,,,,,,,体育館,https://www.city.sakaide.lg.jp/,大規模災害発生時などにより，長期滞在を目的として避難所が開設された際に利用可能となる。
372030,,0000000028,香川県坂出市,大橋記念図書館,オオハシキネントショカン,,372030,,香川県坂出市寿町1-3-10,香川県,坂出市寿町1-3-10,,,,34.313961,133.849193,坂出市政策部公民連携・DX推進課,0877-44-5080,,,,,,,1階カウンター周辺,https://www.city.sakaide.lg.jp/,
372030,,0000000029,香川県坂出市,市立体育館,シリツタイイクカン,,372030,,香川県坂出市入船町2-1-59,香川県,坂出市入船町2-1-59,,,,34.323261,133.85787,坂出市教育委員会生涯学習課,0877-45-6670,,,,,,,ロビー、第2競技場,https://www.city.sakaide.lg.jp/,
