NO,名称,名称_カナ,住所,方書,緯度,経度,標高,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
12,イマージュセンター駐車場,ｲﾏｰｼﾞｭｾﾝﾀｰﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町池田2124,,34.48384743,134.2346736,,(0879)75-0600,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
13,池田保健センター,ｲｹﾀﾞﾎｹﾝｾﾝﾀｰ,香川県小豆郡小豆島町池田2071-2,,34.48233034,134.2334277,,(0879)75-0555,,373249,香川県,小豆島町,,1,,1,,,,,,,,,
14,国民宿舎駐車場,ｺｸﾐﾝｼｭｸｼｬﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町室生2195-1,,34.47119454,134.2308948,,(0879)75-2266,,373249,香川県,小豆島町,,1,1,1,1,1,,,,,,,
15,城山会館,ｼﾛﾔﾏｶｲｶﾝ,香川県小豆郡小豆島町池田1123-3,,34.47965343,134.2323897,,(0879)75-2082,,373249,香川県,小豆島町,,1,,1,,,,,,,,,
16,ふるさと村グラウンド,ﾌﾙｻﾄﾑﾗｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町室生2211-7,,34.4706209,134.2348062,,(0879)75-2266,,373249,香川県,小豆島町,,1,,1,,1,,,,,,,
17,ふるさと村 オートキャンプ場,ﾌﾙｻﾄﾑﾗｵｰﾄｷｬﾝﾌﾟｼﾞｮｳ,香川県小豆郡小豆島町室生1904-5,,34.47364584,134.2388187,,(0879)75-2266,,373249,香川県,小豆島町,,1,1,1,1,1,,,,,,,
18,室生体育館,ﾑﾛｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町室生2211-7,,34.47058109,134.2340337,,(0879)75-2266,,373249,香川県,小豆島町,,1,,1,,,,,1,,,,
19,小豆島クリーンセンター,ｼｮｳﾄﾞｼﾏｸﾘｰﾝｾﾝﾀｰ,香川県小豆郡小豆島町室生1371-1,,34.47748648,134.2506395,,(0879)75-2711,,373249,香川県,小豆島町,1,1,,1,,,1,,,,,,
20,小豆島クリーン センター駐車場,ｼｮｳﾄﾞｼﾏｸﾘｰﾝｾﾝﾀｰﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町室生1371-1,,34.47764567,134.2502617,,(0879)75-2711,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
21,二生公民館,ﾆﾌﾞｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町二面568-1,,34.4611359,134.2429402,,(0879)75-2167,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
22,二生公民館横広場,ﾆﾌﾞｺｳﾐﾝｶﾝﾋﾛﾊﾞ,香川県小豆郡小豆島町二面568-1,,34.46122879,134.243963,,(0879)75-2167,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
23,石場公営住宅集会所,ｲｼﾊﾞｺｳｴｲｼﾞｭｳﾀｸｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町二面1819-1,,34.46545931,134.265598,,(0879)82-7011,,373249,香川県,小豆島町,1,,1,1,1,,1,,,,,,
24,三都公民館,ﾐﾄｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町蒲野1642-1,,34.44198513,134.2505055,,(0879)76-0262,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
25,三都公民館駐車場,ﾐﾄｺｳﾐﾝｶﾝﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町蒲野1642-1,,34.44205591,134.2506664,,(0879)76-0262,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
26,谷尻公営住宅集会所,ﾀﾆｼﾞﾘｺｳｴｲｼﾞｭｳﾀｸｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町蒲野3227-15,,34.42574155,134.2476116,,(0879)82-7011,,373249,香川県,小豆島町,1,,1,1,1,,1,,,,,,
27,オリーブ・ナビ,ｵﾘｰﾌﾞ･ﾅﾋﾞ,香川県小豆郡小豆島町西村甲1896-1,,34.46959928,134.2744401,,(0879)82-7007,,373249,香川県,小豆島町,,1,1,1,1,,,,,,,,
28,オリーブ・ナビ駐車場,ｵﾘｰﾌﾞ･ﾅﾋﾞﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町西村甲1896-1,,34.46959928,134.2744401,,(0879)82-7007,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
29,サン・オリーブ,ｻﾝｵﾘｰﾌﾞ,香川県小豆郡小豆島町西村乙1879-5,,34.47329237,134.2750666,,(0879)82-2200,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
30,サン・オリーブ駐車場,ｻﾝ･ｵﾘｰﾌﾞﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町西村甲1860-10,,34.47360193,134.2750023,,(0879)82-2200,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
31,西村公営住宅集会所,ﾆｼﾑﾗｺｳｴｲｼﾞｭｳﾀｸｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町西村甲2120-1,,34.46955528,134.2700169,,(0879)82-7011,,373249,香川県,小豆島町,1,1,1,1,1,,1,,,,,,
32,西村公民館,ﾆｼﾑﾗｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町西村甲1069-1,,34.47315431,134.2837039,,(0879)82-0201,,373249,香川県,小豆島町,1,1,,1,,,1,,1,,,,
33,神懸通集会所,ｶﾝｶｹﾄﾞｵﾘｼｭｳｶｲｼｮ,香川県小豆郡小豆島町神懸通甲516-2,,34.48965378,134.3026235,,(0879)82-0019,,373249,香川県,小豆島町,1,1,1,1,1,,1,,,,,,
34,星城小学校,ｾｲｼﾞｮｳｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町草壁本町632-1,,34.48138548,134.3007535,,(0879)82-2011,,373249,香川県,小豆島町,,,,1,,,,,,,,,
35,星城小学校体育館,ｾｲｼﾞｮｳｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町草壁本町667-1,,34.48148214,134.3012968,,(0879)82-2011,,373249,香川県,小豆島町,,,,1,,,,,1,,,,
36,星城小学校グラウンド,ｾｲｼﾞｮｳｼｮｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町草壁本町632-1,,34.48099573,134.3010769,,(0879)82-2011,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
37,草壁公営住宅集会所,ｸｻｶﾍﾞｺｳｴｲｼﾞｭｳﾀｸｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町草壁本町602-81,,34.47873932,134.3011579,,(0879)82-7011,,373249,香川県,小豆島町,,1,,1,,,,,,,,,
38,草壁公民館,ｸｻｶﾍﾞｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町草壁本町438-3,,34.48292251,134.3023243,,(0879)82-0019,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
39,草壁公民館駐車場,ｸｻｶﾍﾞｺｳﾐﾝｶﾝﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町草壁本町438-11,,34.48300211,134.302512,,(0879)82-0019,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
40,星城幼稚園グラウンド,ｸｻｶﾍﾞﾖｳﾁｴﾝｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町草壁本町419-1,,34.48318126,134.3018154,,(0879)82-2017,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
41,草壁会館,ｸｻｶﾍﾞｶｲｶﾝ,香川県小豆郡小豆島町草壁本町204-1,,34.47944683,134.3058844,,(0879)82-0808,,373249,香川県,小豆島町,1,1,1,1,1,,1,,,,,,
42,小豆島中学校,ｼｮｳﾄﾞｼﾏﾁｭｳｶﾞｯｺｳ,香川県小豆郡小豆島町片城甲44-1,,34.48010845,134.31052,,(0879)82-2136,,373249,香川県,小豆島町,,1,,1,,,,,,,,,
43,小豆島中学校体育館,ｼｮｳﾄﾞｼﾏﾁｭｳｶﾞｯｺｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町片城甲44-1,,34.48026322,134.3112817,,(0879)82-2136,,373249,香川県,小豆島町,,1,,1,,,,,1,,,,
44,小豆島中学校 グラウンド,ｼｮｳﾄﾞｼﾏﾁｭｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町片城甲44-1,,34.47975911,134.3101284,,(0879)82-2136,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
45,小豆島町役場西館2階,ｼｮｳﾄﾞｼﾏﾁｮｳﾔｸﾊﾞﾆｼｶﾝﾆｶｲ,香川県小豆郡小豆島町片城甲44-95,,34.47970736,134.3082655,,(0879)82-7001,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
46,福祉会館,ﾌｸｼｶｲｶﾝ,香川県小豆郡小豆島町安田甲36-3,,34.47915943,134.3170476,,(0879)82-0337,,373249,香川県,小豆島町,,1,,,,,,,,,,,
47,安田小学校,ﾔｽﾀﾞｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町安田甲472-1,,34.4844233,134.3184606,,(0879)82-2012,,373249,香川県,小豆島町,1,,,1,,,1,,,,,,
48,安田小学校体育館,ﾔｽﾀﾞｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町安田甲417-2,,34.48479473,134.3187825,,(0879)82-2012,,373249,香川県,小豆島町,1,,,1,,,1,,1,,,,
49,安田小学校グラウンド,ﾔｽﾀﾞｼｮｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町安田甲478-1,,34.48401208,134.318364,,(0879)82-2012,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
50,木庄集会所,ｷﾉｼｮｳｼｭｳｶｲｼｮ,香川県小豆郡小豆島町木庄甲243-1,,34.48568495,134.3137478,,(0879)82-0105,,373249,香川県,小豆島町,1,1,,,,,1,,,,,,
51,木庄集会所前,ｷﾉｼｮｳｼｭｳｶｲｼｮﾏｴ,香川県小豆郡小豆島町木庄甲243-1,,34.48560426,134.3137364,,(0879)82-0105,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
52,内海総合運動公園,ｳﾁﾉﾐｿｳｺﾞｳｳﾝﾄﾞｳｺｳｴﾝ,香川県小豆郡小豆島町馬木甲48-24,,34.47338621,134.3140213,,(0879)82-5171,,373249,香川県,小豆島町,,1,,1,,1,,,,,,,
53,Ｂ&Ｇ体育館,ﾋﾞｰｱﾝﾄﾞｰｼﾞｰﾀｲｲｸｶﾝ,香川県小豆郡小豆島町馬木甲48-34,,34.47163494,134.3158238,,(0879)82-5171,,373249,香川県,小豆島町,,1,,,,,,,,,,,
54,馬木避難広場,ｳﾏｷﾋﾅﾝﾋﾛﾊﾞ,香川県小豆郡小豆島町馬木甲45-4,,34.47413701,134.3169869,,(0879)82-7001,,373249,香川県,小豆島町,,,1,,1,,,,,,,,
55,苗羽小学校,ﾉｳﾏｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町苗羽甲1371-1,,34.47017828,134.3192091,,(0879)82-2013,,373249,香川県,小豆島町,1,,1,1,1,,1,,,,,,
56,苗羽小学校体育館,ﾉｳﾏｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町苗羽甲16-1,,34.46988639,134.3189999,,(0879)82-2013,,373249,香川県,小豆島町,1,,,1,,,1,,1,,,,
57,苗羽小学校グラウンド,ﾉｳﾏｼｮｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町苗羽甲16-1,,34.46978025,134.3194452,,(0879)82-2013,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
58,坂手公民館,ｻｶﾃｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町坂手甲1834-6,,34.45706088,134.3215905,,(0879)82-0248,,373249,香川県,小豆島町,1,1,1,1,1,,1,,1,,,,
59,遊児老館,ﾕｳｼﾞﾛｳｶﾝ,香川県小豆郡小豆島町坂手甲795-1,,34.45757811,134.3236297,,(0879)82-4291,,373249,香川県,小豆島町,1,,,1,,,1,,,,,,
60,旧坂手幼稚園 （遊児老館）グラウンド,ｷｭｳｻｶﾃﾖｳﾁｴﾝ(ﾕｳｼﾞﾛｳｶﾝ)ｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町坂手甲795-1,,34.45729945,134.3237799,,(0879)82-4291,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
61,橘こども園グラウンド,ﾀﾁﾊﾞﾅｺﾄﾞﾓｴﾝｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町橘甲450-1,,34.49154531,134.3419308,,(0879)82-4902,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
62,橘会館,ﾀﾁﾊﾞﾅｶｲｶﾝ,香川県小豆郡小豆島町橘甲442-1,,34.49146123,134.3421418,,(0879)82-2015,,373249,香川県,小豆島町,1,,1,1,1,,1,,1,,,,
63,橘会館駐車場,ﾀﾁﾊﾞﾅｶｲｶﾝﾁｭｳｼｬｼﾞｮｳ,香川県小豆郡小豆島町橘甲442-1,,34.49130648,134.3421686,,(0879)82-2015,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
64,岩谷公営住宅集会所,ｲﾜｶﾞﾀﾆｺｳｴｲｼﾞｭｳﾀｸｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町岩谷甲81-1,,34.50141328,134.3466069,,(0879)82-1544,,373249,香川県,小豆島町,1,,1,1,1,,1,,,,,,
65,当浜公営住宅集会所,ｱﾃﾊﾏｺｳｴｲｼﾞｭｳﾀｸｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町当浜甲19-1,,34.52370618,134.3538142,,(0879)84-2736,,373249,香川県,小豆島町,1,,1,1,1,,1,,,,,,
66,旧福田小学校,ｷｭｳﾌｸﾀﾞｼｮｳｶﾞｯｺｳ,香川県小豆郡小豆島町福田甲718-1,,34.54523689,134.3411808,,(0879)82-7001,,373249,香川県,小豆島町,1,,1,,1,,1,,,,,,
67,旧福田小学校体育館,ｷｭｳﾌｸﾀﾞｼｮｳｶﾞｯｺｳﾀｲｲｸｶﾝ,香川県小豆郡小豆島町福田甲720,,34.54498945,134.3415563,,(0879)82-7001,,373249,香川県,小豆島町,1,,,,,,1,,,,,,
68,旧福田小学校 グラウンド,ｷｭｳﾌｸﾀﾞｼｮｳｶﾞｯｺｳｸﾞﾗｳﾝﾄﾞ,香川県小豆郡小豆島町福田甲720,,34.54481712,134.3411754,,(0879)82-7001,,373249,香川県,小豆島町,,,,1,,1,,,,,,,
69,福田公民館,ﾌｸﾀﾞｺｳﾐﾝｶﾝ,香川県小豆郡小豆島町福田甲546-1,,34.543761,134.341666,,(0879)84-2812,,373249,香川県,小豆島町,1,,1,1,1,,1,,1,,,,
70,平間集会所,ﾋﾗﾏｼｭｳｶｲｼﾞｮ,香川県小豆郡小豆島町福田乙966-1,,34.53899526,134.322833,,(0879)84-2284,,373249,香川県,小豆島町,,,1,,1,,,,,,,,
71,吉田児童館,ﾖｼﾀﾞｼﾞﾄﾞｳｶﾝ,香川県小豆郡小豆島町吉田甲182-1,,34.557352,134.3417965,,(0879)84-2839,,373249,香川県,小豆島町,1,,1,,1,,1,,,,,,
72,オートキャンプ場,ｵｰﾄｷｬﾝﾌﾟｼﾞｮｳ,香川県小豆郡小豆島町吉田甲302-1,,34.55558079,134.3381574,,(0879)61-7007,,373249,香川県,小豆島町,,,1,1,1,1,,,,,,,
