都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,住所,方書,緯度,経度,設置位置,電話番号,内線番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,小児対応設備の有無,URL,備考
372048,0000000017,香川県,善通寺市,観光交流センター,カンコウコウリュウセンター,香川県善通寺市善通寺町2-8-23,,34.22688,133.77836,管理事務所前,(0877)64-1250,,8000020372048,善通寺市,月水木金土,09:00,19:00,,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000018,香川県,善通寺市,東部幼稚園,トウブヨウチエン,香川県善通寺市稲木町380-3,,34.23605,133.78395,職員室,(0877)62-4240,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000019,香川県,善通寺市,西部幼稚園,セイブヨウチエン,香川県善通寺市善通寺町1146,,34.22001,133.77264,職員室,(0877)63-0155,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000020,香川県,善通寺市,南部幼稚園,ナンブヨウチエン,香川県善通寺市生野町2880-1,,34.21512,133.79231,職員室,(0877)63-0156,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000021,香川県,善通寺市,竜川幼稚園,タツカワヨウチエン,香川県善通寺市原田町290,,34.24828,133.79247,職員室,(0877)62-0948,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000022,香川県,善通寺市,与北幼稚園,ヨギタヨウチエン,香川県善通寺市与北町1240-1,,34.23336,133.80809,職員室,(0877)63-0157,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000023,香川県,善通寺市,筆岡幼稚園,フデオカヨウチエン,香川県善通寺市中村町1581-1,,34.23866,133.76537,職員室,(0877)63-0158,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000024,香川県,善通寺市,吉原幼稚園,ヨシハラヨウチエン,香川県善通寺市吉原町1617,,34.22943,133.75107,職員室,(0877)63-0159,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000025,香川県,善通寺市,中央幼稚園,チュウオウヨウチエン,香川県善通寺市文京町4-5-3,,34.22516,133.77924,職員室,(0877)62-0708,,8000020372048,善通寺市,月火水木金,08:30,14:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000026,香川県,善通寺市,善通寺市立図書館,ゼンツウジシリツトショカン,香川県善通寺市文京町2-1-1,,34.22704,133.78704,2階図書館,(0877)63-5188,,8000020372048,善通寺市,月火水木金土日,09:00,19:00,日曜日 18:00まで,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000027,香川県,善通寺市,善通寺市営野球場,ゼンツウジシエイヤキュウジョウ,香川県善通寺市引田町1847,,34.22959,133.76523,管理事務所,(0877)63-5040,,8000020372048,善通寺市,火水木金土日,09:00,17:00,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000028,香川県,善通寺市,中央小学校,チュウオウショウガッコウ,香川県善通寺市文京町4-5-1,,34.22471,133.77854,体育館入口,(0877)62-1616,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000029,香川県,善通寺市,東部小学校,トウブショウガッコウ,香川県善通寺市稲木町450-1,,34.23541,133.78124,職員室玄関先,(0877)62-0703,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000030,香川県,善通寺市,西部小学校,セイブショウガッコウ,香川県善通寺市善通寺町1146,,34.22084,133.77303,校舎、体育館間,(0877)62-0701,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000031,香川県,善通寺市,南部小学校,ナンブショウガッコウ,香川県善通寺市生野町2990-1,,34.21595,133.78982,体育館入口,(0877)62-0702,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000032,香川県,善通寺市,竜川小学校,タツカワショウガッコウ,香川県善通寺市原田町306-1,,34.24928,133.79264,職員室入口,(0877)62-0705,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000033,香川県,善通寺市,与北小学校,ヨギタショウガッコウ,香川県善通寺市与北町1238,,34.23371,133.80868,職員室入口,(0877)62-0704,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000034,香川県,善通寺市,筆岡小学校,フデオカショウガッコウ,香川県善通寺市中村町1575-2,,34.23906,133.76603,体育館入口,(0877)62-0706,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000035,香川県,善通寺市,吉原小学校,ヨシハラショウガッコウ,香川県善通寺市吉原町2811,,34.22975,133.751,体育館入口,(0877)62-0707,,8000020372048,善通寺市,月火水木金,08:00,16:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000036,香川県,善通寺市,未来クルパーク２１,ミラクルパークニジュウウイチ,香川県善通寺市原田町43,,34.242481,133.79564,管理事務所,(0877)63-2808,,8000020372048,善通寺市,月火水木金,08:30,17:15,,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000037,香川県,善通寺市,善通寺市営テニス場,ゼンツウジシエイテニスジョウ,香川県善通寺市仙遊町2-9-1,,34.228466,133.76714,管理事務所,(0877)63-2771,,8000020372048,善通寺市,火水木金土日,09:00,21:30,,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000038,香川県,善通寺市,善通寺隣保館,ゼンツウジリンポカン,香川県善通寺市与北町2870-23,,34.234274,133.799288,事務室,(0877)62-3224,,8000020372048,善通寺市,月火水木金,08:30,17:15,,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000039,香川県,善通寺市,高橋会館,タカバシカイカン,香川県善通寺市大麻町138-3,,34.19624,133.813489,入口玄関,(0877)73-5830,,8000020372048,善通寺市,月火水木金,08:30,17:15,,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000040,香川県,善通寺市,「善通寺五岳の里」市民集いの丘公園 ,ゼンツウジゴガクノサトシミンツドイノオカコウエン,香川県善通寺市吉原町918-1,,34.222129,133.757717,玄関,(0877)63-8753,,8000020372048,善通寺市,月水木金土日,09:00,17:00,夏季期間(7月～9月)　9:00～18:00,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000041,香川県,善通寺市,善通寺市子ども・家庭支援センター,ゼンツウジシコドモカテイシエンセンター,香川県善通寺市文京町2-2-2,,34.22651,133.78759,玄関,(0877)63-5105,,8000020372048,善通寺市,月火水木金土日,09:00,19:00,日曜日、祝日　9:00～18:00,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000042,香川県,善通寺市,旧善通寺偕行社,キュウゼンツウジカイコウシャ,香川県善通寺市文京町2-1-1,,34.227698,133.787991,玄関,(0877)63-6362,,8000020372048,善通寺市,月水木金土日,09:00,17:00,夏季期間(7月～8月) 9:00～18:00,無,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000043,香川県,善通寺市,善通寺保育所,ゼンツウジホイクショ,香川県善通寺市善通寺町2069-2,,34.219976,133.780372,玄関,(0877)62-0033,,8000020372048,善通寺市,月火水木金土,07:00,18:00,土曜日 7:30～13:00,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000044,香川県,善通寺市,竜川保育所,タツカワホイクショ,香川県善通寺市原田町289,,34.2481,133.792208,玄関,(0877)62-1210,,8000020372048,善通寺市,月火水木金土,07:00,18:00,土曜日 7:30～18:00,有,https://www.city.zentsuji.kagawa.jp/soshiki/30/aed-places1.html,
372048,0000000045,香川県,善通寺市,善通寺市武道館,ゼンツウジシブドウカン,香川県善通寺市文京町4-1-2,,34.22455,133.78193,１階事務室,(0877)63-6328,,8000020372048,善通寺市,月火水木金土,,,閉館時は利用不可,無,,
